Latitude,Longitude,Salinity,Temperature,CTD_Depth,Lab_NO3,Lab_PO4,Lab_NO2,Lab_NH4,Sb_Oxygen,DOC,Iron,sample_name,Depth,Station,Depth_Threshold,More_Depth_Threshold,watertype,Flow_of_CDW,Location,Sample.Control,Iron_Level,Replicate_Number,Pos_in_polynya,Siderophore,True_Flow,Coastal_Current_Name,Coastal_Current_Number,Transect_Name,Transect_Number,Notes,is.neg
-74.1753,-113.34488,34.09,-0.69,250.32,33.16,2.28,0,0.06,5,43.5,0.572,STN22.250.pre.poly.3.LG,250,STN22,Intermediate,Mid,WW-CDW,Outflow,Dotson,True.Sample,High,NA,Outflow,46.9,Outflow,NA,NA,transect2,1,NA,FALSE
-74.1753,-113.34488,34.09,-0.69,250.3,33.16,2.28,0,0.06,5,43.5,0.572,STN22.250.fil.dura.r1,250,STN22,Intermediate,Mid,WW-CDW,Outflow,Dotson,True.Sample,High,1,Outflow,46.9,Outflow,NA,NA,transect2,1,NA,FALSE
-74.1753,-113.34488,34.09,-0.69,250.3,33.16,2.28,0,0.06,5,43.5,0.572,STN22.250.fil.dura.r2,250,STN22,Intermediate,Mid,WW-CDW,Outflow,Dotson,True.Sample,High,2,Outflow,46.9,Outflow,NA,NA,transect2,1,NA,FALSE
-74.1753,-113.34488,34,-0.94,150.28,33.08,2.29,0.01,0.08,5.1,39.1,0.617,STN22.150.pre.poly.3.LG,150,STN22,Intermediate,Mid-Surface,WW-CDW,Outflow,Dotson,True.Sample,High,NA,Outflow,25.4,Outflow,NA,NA,transect2,1,NA,FALSE
-74.1753,-113.34488,34,-0.95,150.29,33.08,2.29,0.01,0.08,5.1,39.1,0.617,STN22.150.fil.dura.r1,150,STN22,Intermediate,Mid-Surface,WW-CDW,Outflow,Dotson,True.Sample,High,1,Outflow,25.4,Outflow,NA,NA,transect2,1,NA,FALSE
-74.1753,-113.34488,34,-0.95,150.29,33.08,2.29,0.01,0.08,5.1,39.1,0.617,STN22.150.fil.dura.r2,150,STN22,Intermediate,Mid-Surface,WW-CDW,Outflow,Dotson,True.Sample,High,2,Outflow,25.4,Outflow,NA,NA,transect2,1,NA,FALSE
-74.1753,-113.34488,33.88,-1.27,1.68,32.44,2.25,0.02,0.08,5.49,37.8,0.73,STN22.2.pre.poly.3.LG,2,STN22,Surface,Surface,WW-CDW,Outflow,Dotson,True.Sample,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
-74.1753,-113.34488,33.88,-1.27,1.65,32.44,2.25,0.02,0.08,5.47,37.8,0.73,STN22.2.fil.dura.r1,2,STN22,Surface,Surface,WW-CDW,Outflow,Dotson,True.Sample,High,1,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
-74.1753,-113.34488,33.88,-1.27,1.65,32.44,2.25,0.02,0.08,5.47,37.8,0.73,STN22.2.fil.dura.r2,2,STN22,Surface,Surface,WW-CDW,Outflow,Dotson,True.Sample,High,2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,KITBL.r4,Blank,Blank,Blank,Blank,NA,Blank,Blank,Control.Sample,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,TRUE
-74.18,-113.34,34.15,-0.56,310.26,33.29,2.24,0.01,0.18,4.96,42.4,0.642,STN056a.310.pre.poly.3.LG,310,STN056a,Bottom_water,Bottom,WW-CDW,Outflow,Dotson,True.Sample,High,NA,Outflow,NA,Outflow,NA,NA,transect2,1,NA,FALSE
-74.18,-113.34,34.15,-0.55,310.32,33.29,2.24,0.01,0.18,4.98,42.4,0.642,STN056a.310.fil.dura.r1,310,STN056a,Bottom_water,Bottom,WW-CDW,Outflow,Dotson,True.Sample,High,1,Outflow,NA,Outflow,NA,NA,transect2,1,NA,FALSE
-74.18,-113.34,34.15,-0.55,310.32,33.29,2.24,0.01,0.18,4.98,42.4,0.642,STN056a.310.fil.dura.r2,310,STN056a,Bottom_water,Bottom,WW-CDW,Outflow,Dotson,True.Sample,High,2,Outflow,NA,Outflow,NA,NA,transect2,1,NA,FALSE
-74.18,-113.34,33.96,-1.25,169.9,32.64,2.2,0.02,0.09,5.65,42.4,0.591,STN056a.170.pre.poly.3.LG,170,STN056a,Intermediate,Mid-Bottom,WW-CDW,Outflow,Dotson,True.Sample,High,NA,Outflow,NA,Outflow,transect3,7,transect2,1,NA,FALSE
